"geographicAreaM49","measuredElementSuaFbs","measuredItemParentCPC","measuredItemChildCPC","timePointYears","Value","flagObservationStatus","flagMethod"
"398","share","0111","23110","2022",1,"I","i"
"398","share","0111","23110","2021",1,"I","i"
"398","share","0111","23110","2020",1,"I","i"
"398","share","0111","23110","2019",1,"I","i"
"398","share","0111","23110","2018",1,"I","i"
"398","share","0111","23110","2017",1,"I","i"
"398","share","0111","23110","2016",1,"I","i"
"398","share","0111","23110","2015",1,"I","i"
"398","share","0111","23110","2014",1,"I","i"
"398","share","0111","23140.01","2022",1,"I","i"
"398","share","0111","23140.01","2021",1,"I","i"
"398","share","0111","23140.01","2020",1,"I","i"
"398","share","0111","23140.01","2019",1,"I","i"
"398","share","0111","23140.01","2018",1,"I","i"
"398","share","0111","23140.01","2017",1,"I","i"
"398","share","0111","23140.01","2016",1,"I","i"
"398","share","0111","23140.01","2015",1,"I","i"
"398","share","0111","23140.01","2014",1,"I","i"
"398","share","0111","24110","2022",0.47,"E","f"
"398","share","0111","24110","2021",0.8615574956,"I","i"
"398","share","0111","24110","2020",0.7213804888,"I","i"
"398","share","0111","24110","2019",0.5815518235,"I","i"
"398","share","0111","24110","2018",0.755956276,"I","i"
"398","share","0111","24110","2017",0.7562518672,"I","i"
"398","share","0111","24110","2016",0.7550252418,"I","i"
"398","share","0111","24110","2015",0.7565814149,"I","i"
"398","share","0111","24110","2014",0.7571404146,"I","i"
"398","share","0111","2413","2022",0.6957409866,"I","i"
"398","share","0111","2413","2021",0.6901097273,"I","i"
"398","share","0111","2413","2020",0.5967277001,"I","i"
"398","share","0111","2413","2019",0.5318468814,"I","i"
"398","share","0111","2413","2018",0.4740677681,"I","i"
"398","share","0111","2413","2017",0.4745279405,"I","i"
"398","share","0111","2413","2016",0.4727176553,"I","i"
"398","share","0111","2413","2015",0.49,"E","f"
"398","share","0111","2413","2014",0.4759432635,"I","i"
"398","share","0111","24320","2022",0.8160600925,"I","i"
"398","share","0111","24320","2021",0.8151869695,"I","i"
"398","share","0111","24320","2020",0.7536340967,"I","i"
"398","share","0111","24320","2019",0.7344728988,"I","i"
"398","share","0111","24320","2018",0.5602744237,"I","i"
"398","share","0111","24320","2017",0.560742335,"I","i"
"398","share","0111","24320","2016",0.5588680164,"I","i"
"398","share","0111","24320","2015",0.5612054122,"I","i"
"398","share","0111","24320","2014",0.5621587358,"I","i"
"398","share","0111","39120.01","2022",1,"I","i"
"398","share","0111","39120.01","2021",1,"I","i"
"398","share","0111","39120.01","2020",1,"I","i"
"398","share","0111","39120.01","2019",1,"I","i"
"398","share","0111","39120.01","2018",1,"I","i"
"398","share","0111","39120.01","2017",1,"I","i"
"398","share","0111","39120.01","2016",1,"I","i"
"398","share","0111","39120.01","2015",1,"I","i"
"398","share","0111","39120.01","2014",1,"I","i"
"398","share","0112","23120.03","2022",1,"I","i"
"398","share","0112","23120.03","2021",1,"I","i"
"398","share","0112","23120.03","2020",1,"I","i"
"398","share","0112","23120.03","2019",1,"I","i"
"398","share","0112","23120.03","2018",1,"I","i"
"398","share","0112","23120.03","2017",1,"I","i"
"398","share","0112","23120.03","2016",1,"I","i"
"398","share","0112","23120.03","2015",1,"I","i"
"398","share","0112","23120.03","2014",1,"I","i"
"398","share","0112","23140.06","2022",1,"I","i"
"398","share","0112","23140.06","2021",1,"I","i"
"398","share","0112","23140.06","2020",1,"I","i"
"398","share","0112","23140.06","2019",1,"I","i"
"398","share","0112","23140.06","2018",1,"I","i"
"398","share","0112","23140.06","2017",1,"I","i"
"398","share","0112","23140.06","2016",1,"I","i"
"398","share","0112","23140.06","2015",1,"I","i"
"398","share","0112","23140.06","2014",1,"I","i"
"398","share","0112","39120.04","2022",1,"I","i"
"398","share","0112","39120.04","2021",1,"I","i"
"398","share","0112","39120.04","2020",1,"I","i"
"398","share","0112","39120.04","2019",1,"I","i"
"398","share","0112","39120.04","2018",1,"I","i"
"398","share","0112","39120.04","2017",1,"I","i"
"398","share","0112","39120.04","2016",1,"I","i"
"398","share","0112","39120.04","2015",1,"I","i"
"398","share","0112","39120.04","2014",1,"I","i"
"398","share","0113","23161.02","2022",1,"I","i"
"398","share","0113","23161.02","2021",1,"I","i"
"398","share","0113","23161.02","2020",1,"I","i"
"398","share","0113","23161.02","2019",1,"I","i"
"398","share","0113","23161.02","2018",1,"I","i"
"398","share","0113","23161.02","2017",1,"I","i"
"398","share","0113","23161.02","2016",1,"I","i"
"398","share","0113","23161.02","2015",1,"I","i"
"398","share","0113","23161.02","2014",1,"I","i"
"398","share","0113","23162","2022",1,"I","i"
"398","share","0113","23162","2021",1,"I","i"
"398","share","0113","23162","2020",1,"I","i"
"398","share","0113","23162","2019",1,"I","i"
"398","share","0113","23162","2018",1,"I","i"
"398","share","0113","23162","2017",1,"I","i"
"398","share","0113","23162","2016",1,"I","i"
"398","share","0113","23162","2015",1,"I","i"
"398","share","0113","23162","2014",1,"I","i"
"398","share","0113","39120.02","2022",1,"I","i"
"398","share","0113","39120.02","2021",1,"I","i"
"398","share","0113","39120.02","2020",1,"I","i"
"398","share","0113","39120.02","2019",1,"I","i"
"398","share","0113","39120.02","2018",1,"I","i"
"398","share","0113","39120.02","2017",1,"I","i"
"398","share","0113","39120.02","2016",1,"I","i"
"398","share","0113","39120.02","2015",1,"I","i"
"398","share","0113","39120.02","2014",1,"I","i"
"398","share","0115","23140.04","2022",1,"I","i"
"398","share","0115","23140.04","2021",1,"I","i"
"398","share","0115","23140.04","2020",1,"I","i"
"398","share","0115","23140.04","2019",1,"I","i"
"398","share","0115","23140.04","2018",1,"I","i"
"398","share","0115","23140.04","2017",1,"I","i"
"398","share","0115","23140.04","2016",1,"I","i"
"398","share","0115","23140.04","2015",1,"I","i"
"398","share","0115","23140.04","2014",1,"I","i"
"398","share","0115","2413","2022",0.1564420989,"I","i"
"398","share","0115","2413","2021",0.156129748,"I","i"
"398","share","0115","2413","2020",0.1804506971,"I","i"
"398","share","0115","2413","2019",0.1747584572,"I","i"
"398","share","0115","2413","2018",0.372634656,"I","i"
"398","share","0115","2413","2017",0.3722767664,"I","i"
"398","share","0115","2413","2016",0.2,"E","f"
"398","share","0115","2413","2015",0.2,"E","f"
"398","share","0115","2413","2014",0.3711760281,"I","i"
"398","share","0115","24320","2022",0.1839399075,"I","i"
"398","share","0115","24320","2021",0.1848130305,"I","i"
"398","share","0115","24320","2020",0.2463659033,"I","i"
"398","share","0115","24320","2019",0.2655271012,"I","i"
"398","share","0115","24320","2018",0.4397255763,"I","i"
"398","share","0115","24320","2017",0.439257665,"I","i"
"398","share","0115","24320","2016",0.4411319836,"I","i"
"398","share","0115","24320","2015",0.4387945878,"I","i"
"398","share","0115","24320","2014",0.4378412642,"I","i"
"398","share","0115","39120.03","2022",1,"I","i"
"398","share","0115","39120.03","2021",1,"I","i"
"398","share","0115","39120.03","2020",1,"I","i"
"398","share","0115","39120.03","2019",1,"I","i"
"398","share","0115","39120.03","2018",1,"I","i"
"398","share","0115","39120.03","2017",1,"I","i"
"398","share","0115","39120.03","2016",1,"I","i"
"398","share","0115","39120.03","2015",1,"I","i"
"398","share","0115","39120.03","2014",1,"I","i"
"398","share","0116","23120.04","2022",1,"I","i"
"398","share","0116","23120.04","2021",1,"I","i"
